Task Name                     , Average Times by Release (minutes)
                              , 6.9, 6.10, 6.11, 6.12, 6.13,  6.14
Sliceviewer                   ,    ,  150,     ,     ,   90,   105
Engineering Diffraction       , 150,     ,  105,     ,   60,    60
Muon                          , 111,  120,  150,  120,  120,    90
Workbench Core                ,    ,  120,   85,   45,   60,    70
ISIS Reflectometry            ,  60,  105,   90,   60,   45,    45
Inelastic interfaces          ,    ,   30,  110,     ,  120,    60
ISIS SANS                     ,  67,     ,   53,   70,   95,   105
M-slice                       ,  60,   60,   50,     ,   67,    90
Mantid Basics Course          ,  60,   40,   60,     ,   60,   120
Project Recovery              ,  50,   30,   36,   45,   33,    25
Live Data ISIS                ,  22,   20,   20,   44,   30,    15
Error Reporter                ,  26,   20,   30,   20,     ,    25
Indirect interfaces           ,  11,    0,   45,   15,   45,    45
Documentation                 ,    ,   20,    0,     ,   15,      
Sample Transmission calculator,  25,   10,   20,   21,   12,    11
FilterEvents                  ,  15,   30,   15,   15,   18,    15
ALF                           ,  10,   20,   17,   15,   10,    10
Fit Script Generator          ,  10,     ,   15,   15,   15,    17
TOFConverter                  ,    ,   10,   15,   10,    5,    10












