id,Title,State,Created At,Updated At,Assignee,isPR,Author,milestone
18662,Indirect Absorption -  monte carlo absorption algorithms,open,2017-02-01,2017-02-01,louisemccann,N,louisemccann,Release 3.10
18661,Histogram Data Rollout LessThanMD to GatherWorkspaces,open,2017-02-01,2017-02-01,DimitarTasev,N,DimitarTasev,Release 3.10
18660,SpectrumInfo and DetectorInfo rollout: `LoadHelper.cpp` to `RotateInstrumentComponentTest.h`,open,2017-02-01,2017-02-01,,Y,raquelalvarezbanos,Release 3.10
18659,Store positions and rotations in `Beamline::DetectorInfo`.,open,2017-02-01,2017-02-01,SimonHeybrock,N,SimonHeybrock,Release 3.10
18658,HistogramData Rollout: SaveNISTDAT to saveVTK,open,2017-02-01,2017-02-01,,Y,DimitarTasev,Release 3.10
18657,New algorithm: IntegrateElasticPeaks,open,2017-02-01,2017-02-01,soininen,N,soininen,Release 3.10
18656,HistogramData rollout: algorithms DivideMD to IntegratePeaksMD,open,2017-02-01,2017-02-01,samueljackson92,N,samueljackson92,Release 3.10
18655,HistogramData rollout: algorithms ConvertMDHistoToMatrixWorkspace to CreateMD,open,2017-02-01,2017-02-01,,N,AnthonyLim23,
18654,Refs #18630 Refactored the files in the Example directory,open,2017-02-01,2017-02-01,,Y,AnthonyLim23,Release 3.10
18653,Efixed mode for paalman pings corrections,open,2017-02-01,2017-02-01,,Y,gvardany,Release 3.10
18652,Efixed mode for FlatPlatePaalmanPings and CylinderPaalmanPings,open,2017-02-01,2017-02-01,,N,gvardany,Release 3.10
18651,HistogramData rollout: algorithms GPUTester to ConvertCWSDExpToMomentum,open,2017-02-01,2017-02-01,LamarMoore,N,LamarMoore,Release 3.10
18650,Fix an issue with first monitor in Reflectometry algorithms,open,2017-02-01,2017-02-01,PranavBahuguna,Y,raquelalvarezbanos,Release 3.9
18649,Support for old files that have masking parameters for non-detector components,open,2017-02-01,2017-02-01,,Y,SimonHeybrock,Release 3.10
18648,point group symmetry in PredictPeaks,open,2017-01-31,2017-01-31,,Y,VickieLynch,Release 3.10
18647,Old nexus files with masks don't load,open,2017-01-31,2017-01-31,SimonHeybrock,N,ricleal,Release 3.9
18646,ISIS_Powder - POLARIS absorption corrections counts incorrect,open,2017-01-31,2017-01-31,DavidFair,N,DavidFair,Release 3.10
18645,ISIS Powder Diffraction Scripts - IMAT,open,2017-01-31,2017-02-01,DavidFair,N,DavidFair,Release 3.10
18644,Update indirect_inelastic release notes,closed,2017-01-31,2017-02-01,martyngigg,Y,louisemccann,Release 3.9
18643,ISIS Powder Diffraction Scripts - Migration of GEM,open,2017-01-31,2017-01-31,DavidFair,N,DavidFair,Release 3.10
18642,Histogram rollout: <LoadTOFRawNexus to SaveDaveGrp>,open,2017-01-31,2017-02-01,SimonHeybrock,Y,LamarMoore,Release 3.10
18641,Blacklist file and increase memory requirement,closed,2017-01-31,2017-01-31,martyngigg,Y,samueljackson92,Release 3.9
18640,Blacklist WISH file and up test memory,open,2017-01-31,2017-01-31,samueljackson92,N,samueljackson92,Release 3.9
18639,Update reflectometry IDFs,open,2017-01-31,2017-01-31,raquelalvarezbanos,N,raquelalvarezbanos,Release 3.9
18638,HistogramData rollout: algorithms LoadQKK to LoadSpiceXML2DDet,open,2017-01-31,2017-02-01,,Y,samueljackson92,Release 3.10
18637, Make files in Group 2 compatible with Python 3 ,open,2017-01-31,2017-01-31,AntonPiccardoSelg,N,AntonPiccardoSelg,Release 3.10
18636,Close multiple windows,closed,2017-01-31,2017-01-31,martyngigg,Y,NickDraper,Release 3.9
18635,Update POLARIS entry in Facilities.xml,open,2017-01-31,2017-01-31,,Y,DavidFair,Release 3.9
18634,Convert Group3 from Python 2 to Python 3,open,2017-01-31,2017-01-31,,Y,AntonPiccardoSelg,Release 3.10
18633,Histogram Rollout - SaveDetectorGroup to SaveMask,open,2017-01-31,2017-01-31,KarlPalmen,Y,DavidFair,Release 3.10
18632,Remove c4250 warning suppression on MSVC,open,2017-01-31,2017-01-31,,Y,DavidFair,Release 3.10
18631,Close multiple windows (e.g. graph windows),open,2017-01-31,2017-01-31,NickDraper,N,NickDraper,Release 3.9
