date,STFC,ORNL,ESS,ILL,PSI,ANSTO,KITWARE,JUELICH,OTHERS
2007-01-01,0,0,0,0,0,0,0,0,0
2007-02-01,0,0,0,0,0,0,0,0,0
2007-03-01,0,0,0,0,0,0,0,0,0
2007-04-01,0,0,0,0,0,0,0,0,0
2007-05-01,0,0,0,0,0,0,0,0,0
2007-06-01,0,0,0,0,0,0,0,0,0
2007-07-01,0,0,0,0,0,0,0,0,0
2007-08-01,0,0,0,0,0,0,0,0,0
2007-09-01,2120,0,0,0,0,0,0,0,0
2007-10-01,27647,0,0,0,0,0,0,0,0
2007-11-01,77367,0,0,0,0,0,0,0,0
2007-12-01,18375,0,0,0,0,0,0,0,0
2008-01-01,8585,0,0,0,0,0,0,0,0
2008-02-01,7764,0,0,0,0,0,0,0,0
2008-03-01,7648,0,0,0,0,0,0,0,0
2008-04-01,21116,0,0,0,0,0,0,0,0
2008-05-01,140560,0,0,0,0,0,0,0,0
2008-06-01,7760,0,0,0,0,0,0,0,0
2008-07-01,12304,0,0,0,0,0,0,0,0
2008-08-01,66748,0,0,0,0,0,0,0,0
2008-09-01,37194,0,0,0,0,0,0,0,0
2008-10-01,24917,0,0,0,0,0,0,0,0
2008-11-01,15122,0,0,0,0,0,0,0,0
2008-12-01,10381,0,0,0,0,0,0,0,0
2009-01-01,11875,2521,0,0,0,0,0,0,0
2009-02-01,10782,4598,0,0,0,0,0,0,0
2009-03-01,20830,3165,0,0,0,0,0,0,0
2009-04-01,10760,1795,0,0,0,0,0,0,0
2009-05-01,8103,1658,0,0,0,0,0,0,0
2009-06-01,13863,1258,0,0,0,0,0,0,0
2009-07-01,19881,3449,0,0,0,0,0,0,0
2009-08-01,46585,3510,0,0,0,0,0,0,0
2009-09-01,15248,3237,0,0,0,0,0,0,0
2009-10-01,15494,2153,0,0,0,0,0,0,0
2009-11-01,17343,6942,0,0,0,0,0,0,0
2009-12-01,17966,1604,0,0,0,0,0,0,0
2010-01-01,18742,3670,0,0,0,0,0,0,0
2010-02-01,12728,3232,0,0,0,0,0,0,0
2010-03-01,13102,15133,0,0,0,0,0,0,0
2010-04-01,8146,391,0,0,0,0,0,0,0
2010-05-01,13127,58444,0,0,0,0,0,0,0
2010-06-01,134523,14376,0,0,0,0,0,0,0
2010-07-01,28229,17785,0,0,0,0,0,0,0
2010-08-01,26365,22743,0,0,0,0,0,0,0
2010-09-01,29041,62650,0,0,0,0,0,0,0
2010-10-01,98880,20964,0,0,0,0,0,0,0
2010-11-01,43346,52425,0,0,0,0,0,0,0
2010-12-01,44148,1443178,0,0,0,0,0,0,0
2011-01-01,32036,45106,0,0,0,0,0,0,0
2011-02-01,80847,38929,0,0,0,0,0,0,0
2011-03-01,25019,366863,0,0,0,0,0,0,0
2011-04-01,24469,69924,0,0,0,0,0,0,0
2011-05-01,35626,35566,0,0,0,0,0,0,0
2011-06-01,43018,52167,0,0,0,0,0,0,0
2011-07-01,28786,112488,0,0,0,0,0,0,0
2011-08-01,14650,75286,0,0,0,0,0,0,0
2011-09-01,15544,90356,0,0,0,0,0,0,0
2011-10-01,79824,288283,0,0,0,0,0,0,0
2011-11-01,51133,61253,0,0,0,0,0,0,0
2011-12-01,20680,40486,0,0,0,0,0,0,0
2012-01-01,40410,163879,0,0,0,0,0,0,0
2012-02-01,22620,48590,0,0,0,0,0,0,0
2012-03-01,50859,58038,0,0,0,0,0,0,0
2012-04-01,48294,3456877,0,0,0,0,0,0,0
2012-05-01,274736,25054,0,0,0,0,0,0,0
2012-06-01,46202,12871,0,0,0,0,0,0,0
2012-07-01,34151,21015,0,0,0,0,0,0,0
2012-08-01,24496,20755,0,0,0,0,0,0,0
2012-09-01,7008,25861,0,0,0,0,0,0,0
2012-10-01,35024,46715,0,0,0,0,0,0,0
2012-11-01,12407,21896,0,0,0,0,0,0,0
2012-12-01,119740,27115,0,2568,0,0,0,0,0
2013-01-01,84590,19802,0,1427,0,0,0,0,0
2013-02-01,60171,21001,328,1308,0,0,0,0,0
2013-03-01,16498,30598,0,851,0,0,0,0,0
2013-04-01,38392,32289,0,744,0,0,0,0,0
2013-05-01,13649,18206,0,3824,0,0,0,0,0
2013-06-01,21194,17569,0,138,0,0,0,0,0
2013-07-01,32005,6693,549,11235,18488,0,0,0,0
2013-08-01,508426,28755,0,0,1178,0,0,0,1299
2013-09-01,31423,21949,0,51,0,0,0,0,174
2013-10-01,70124,138011,0,0,301,0,0,0,0
2013-11-01,22609,5822,0,42866,0,0,0,0,0
2013-12-01,20541,8883,0,650,0,0,0,0,0
2014-01-01,11772,128466,0,1625,0,0,0,0,0
2014-02-01,25826,948448,0,1383,5592,0,0,0,0
2014-03-01,31709,10560,0,1233,3836,0,0,0,0
2014-04-01,32505,6472,0,2626,510,0,0,0,0
2014-05-01,33890,11545,0,3786,4380,0,0,4,0
2014-06-01,78914,165366,0,2135,3902,0,0,24,0
2014-07-01,39501,140232,0,367,1431,0,0,0,735
2014-08-01,37696,23921,0,255,1581,1052,0,0,353
2014-09-01,28860,5293,0,1092,5849,0,0,0,0
2014-10-01,59291,7245,0,91,6477,0,0,0,0
2014-11-01,51830,95507,0,0,5334,0,0,0,0
2014-12-01,25188,592886,0,0,3642,0,0,0,0
2015-01-01,91003,12284,0,0,3349,0,0,400,32
2015-02-01,619037,21575,0,0,6005,0,0,302,0
2015-03-01,93715,25198,0,0,7532,0,0,963,2
2015-04-01,49344,18590,0,0,5826,0,0,30,0
2015-05-01,22325,3733,0,0,510,0,0,0,0
2015-06-01,8433,251,0,0,0,0,0,0,0
