date,STFC,ORNL,ESS,ILL,PSI,ANSTO,KITWARE,JUELICH,OTHERS
2007-01-01,0,0,0,0,0,0,0,0,0
2007-02-01,0,0,0,0,0,0,0,0,0
2007-03-01,0,0,0,0,0,0,0,0,0
2007-04-01,1,0,0,0,0,0,0,0,0
2007-05-01,0,0,0,0,0,0,0,0,0
2007-06-01,0,0,0,0,0,0,0,0,0
2007-07-01,0,0,0,0,0,0,0,0,0
2007-08-01,0,0,0,0,0,0,0,0,0
2007-09-01,9,0,0,0,0,0,0,0,0
2007-10-01,107,0,0,0,0,0,0,0,0
2007-11-01,209,0,0,0,0,0,0,0,0
2007-12-01,174,0,0,0,0,0,0,0,0
2008-01-01,72,0,0,0,0,0,0,0,0
2008-02-01,88,0,0,0,0,0,0,0,0
2008-03-01,43,0,0,0,0,0,0,0,0
2008-04-01,114,0,0,0,0,0,0,0,0
2008-05-01,114,0,0,0,0,0,0,0,0
2008-06-01,70,0,0,0,0,0,0,0,0
2008-07-01,107,0,0,0,0,0,0,0,0
2008-08-01,59,0,0,0,0,0,0,0,0
2008-09-01,79,0,0,0,0,0,0,0,0
2008-10-01,97,0,0,0,0,0,0,0,0
2008-11-01,114,0,0,0,0,0,0,0,0
2008-12-01,92,0,0,0,0,0,0,0,0
2009-01-01,100,32,0,0,0,0,0,0,0
2009-02-01,123,35,0,0,0,0,0,0,0
2009-03-01,146,30,0,0,0,0,0,0,0
2009-04-01,84,20,0,0,0,0,0,0,0
2009-05-01,50,19,0,0,0,0,0,0,0
2009-06-01,118,30,0,0,0,0,0,0,0
2009-07-01,176,39,0,0,0,0,0,0,0
2009-08-01,109,25,0,0,0,0,0,0,0
2009-09-01,127,51,0,0,0,0,0,0,0
2009-10-01,87,26,0,0,0,0,0,0,0
2009-11-01,113,35,0,0,0,0,0,0,0
2009-12-01,82,29,0,0,0,0,0,0,0
2010-01-01,98,27,0,0,0,0,0,0,0
2010-02-01,96,40,0,0,0,0,0,0,0
2010-03-01,92,39,0,0,0,0,0,0,0
2010-04-01,89,11,0,0,0,0,0,0,0
2010-05-01,103,130,0,0,0,0,0,0,0
2010-06-01,81,108,0,0,0,0,0,0,0
2010-07-01,146,123,0,0,0,0,0,0,0
2010-08-01,185,244,0,0,0,0,0,0,0
2010-09-01,153,200,0,0,0,0,0,0,0
2010-10-01,185,183,0,0,0,0,0,0,0
2010-11-01,239,221,0,0,0,0,0,0,0
2010-12-01,206,277,0,0,0,0,0,0,0
2011-01-01,182,398,0,0,0,0,0,0,0
2011-02-01,224,356,0,0,0,0,0,0,0
2011-03-01,157,446,0,0,0,0,0,0,0
2011-04-01,203,312,0,0,0,0,0,0,0
2011-05-01,306,611,0,0,0,0,0,0,0
2011-06-01,264,364,0,0,0,0,0,0,0
2011-07-01,226,337,0,0,0,0,0,0,0
2011-08-01,135,438,0,0,0,0,0,0,0
2011-09-01,163,420,0,0,0,0,0,0,0
2011-10-01,198,325,0,0,0,0,0,0,0
2011-11-01,418,560,0,0,0,0,0,0,0
2011-12-01,306,543,0,0,0,0,0,0,0
2012-01-01,455,435,0,0,0,0,0,0,0
2012-02-01,233,548,0,0,0,0,0,0,0
2012-03-01,210,471,0,0,0,0,0,0,0
2012-04-01,336,436,0,0,0,0,0,0,0
2012-05-01,220,269,0,0,0,0,0,0,0
2012-06-01,215,213,0,0,0,0,0,0,0
2012-07-01,200,213,0,0,0,0,0,0,0
2012-08-01,245,193,0,0,0,0,0,0,0
2012-09-01,89,209,0,0,0,0,0,0,0
2012-10-01,294,244,0,0,0,0,0,0,0
2012-11-01,123,166,0,0,0,0,0,0,0
2012-12-01,153,151,0,5,0,0,0,0,0
2013-01-01,271,239,0,2,0,0,0,0,0
2013-02-01,282,256,1,5,0,0,0,0,0
2013-03-01,384,252,1,6,0,0,0,0,0
2013-04-01,399,476,0,7,0,0,0,0,0
2013-05-01,311,358,0,10,0,0,0,0,0
2013-06-01,280,321,0,3,0,0,0,0,0
2013-07-01,546,237,4,11,8,0,0,0,0
2013-08-01,338,365,0,0,9,0,0,0,13
2013-09-01,501,292,0,1,0,0,0,0,6
2013-10-01,695,330,0,2,1,0,0,0,0
2013-11-01,599,158,0,5,0,0,0,0,0
2013-12-01,387,206,0,5,0,0,0,0,0
2014-01-01,453,149,0,24,0,0,0,0,0
2014-02-01,686,213,0,15,49,0,0,0,0
2014-03-01,535,201,0,10,47,0,0,0,0
2014-04-01,424,279,0,32,4,0,0,0,0
2014-05-01,386,201,0,29,37,0,0,1,0
2014-06-01,826,339,0,31,67,0,0,1,0
2014-07-01,407,134,0,3,21,0,0,1,2
2014-08-01,544,145,0,2,31,4,0,1,0
2014-09-01,473,128,0,2,58,0,0,0,0
2014-10-01,661,122,0,2,49,0,0,1,3
2014-11-01,775,138,0,0,41,0,0,0,0
2014-12-01,394,182,0,0,40,0,0,1,0
2015-01-01,604,76,0,0,34,0,0,7,4
2015-02-01,988,197,1,0,99,1,0,10,1
2015-03-01,903,226,0,0,152,0,2,22,1
2015-04-01,808,350,0,0,90,0,0,3,3
2015-05-01,488,141,0,0,14,0,0,0,0
2015-06-01,167,44,0,0,0,0,0,0,0
