date,STFC,ORNL,ESS,ILL,PSI,ANSTO,KITWARE,JUELICH,OTHERS
2007-01-01,0,0,0,0,0,0,0,0,0
2007-02-01,0,0,0,0,0,0,0,0,0
2007-03-01,0,0,0,0,0,0,0,0,0
2007-04-01,0,0,0,0,0,0,0,0,0
2007-05-01,0,0,0,0,0,0,0,0,0
2007-06-01,0,0,0,0,0,0,0,0,0
2007-07-01,0,0,0,0,0,0,0,0,0
2007-08-01,0,0,0,0,0,0,0,0,0
2007-09-01,53,0,0,0,0,0,0,0,0
2007-10-01,3349,0,0,0,0,0,0,0,0
2007-11-01,61110,0,0,0,0,0,0,0,0
2007-12-01,12490,0,0,0,0,0,0,0,0
2008-01-01,3276,0,0,0,0,0,0,0,0
2008-02-01,3732,0,0,0,0,0,0,0,0
2008-03-01,4163,0,0,0,0,0,0,0,0
2008-04-01,18409,0,0,0,0,0,0,0,0
2008-05-01,264216,0,0,0,0,0,0,0,0
2008-06-01,3861,0,0,0,0,0,0,0,0
2008-07-01,5484,0,0,0,0,0,0,0,0
2008-08-01,3251,0,0,0,0,0,0,0,0
2008-09-01,2715,0,0,0,0,0,0,0,0
2008-10-01,16611,0,0,0,0,0,0,0,0
2008-11-01,7988,0,0,0,0,0,0,0,0
2008-12-01,2680,0,0,0,0,0,0,0,0
2009-01-01,3987,1455,0,0,0,0,0,0,0
2009-02-01,2744,3826,0,0,0,0,0,0,0
2009-03-01,36598,2838,0,0,0,0,0,0,0
2009-04-01,5130,1527,0,0,0,0,0,0,0
2009-05-01,5250,1135,0,0,0,0,0,0,0
2009-06-01,4601,2348,0,0,0,0,0,0,0
2009-07-01,9663,3028,0,0,0,0,0,0,0
2009-08-01,36242,2895,0,0,0,0,0,0,0
2009-09-01,9010,2711,0,0,0,0,0,0,0
2009-10-01,6806,1572,0,0,0,0,0,0,0
2009-11-01,6592,6472,0,0,0,0,0,0,0
2009-12-01,9550,971,0,0,0,0,0,0,0
2010-01-01,11145,3058,0,0,0,0,0,0,0
2010-02-01,8382,1010,0,0,0,0,0,0,0
2010-03-01,8692,1359,0,0,0,0,0,0,0
2010-04-01,4077,194,0,0,0,0,0,0,0
2010-05-01,9361,56429,0,0,0,0,0,0,0
2010-06-01,2298,11904,0,0,0,0,0,0,0
2010-07-01,15678,12634,0,0,0,0,0,0,0
2010-08-01,12656,6596,0,0,0,0,0,0,0
2010-09-01,16116,16846,0,0,0,0,0,0,0
2010-10-01,67519,9514,0,0,0,0,0,0,0
2010-11-01,21475,14218,0,0,0,0,0,0,0
2010-12-01,54753,1354795,0,0,0,0,0,0,0
2011-01-01,21325,30687,0,0,0,0,0,0,0
2011-02-01,115360,31098,0,0,0,0,0,0,0
2011-03-01,11741,286818,0,0,0,0,0,0,0
2011-04-01,19511,58498,0,0,0,0,0,0,0
2011-05-01,21597,62892,0,0,0,0,0,0,0
2011-06-01,32231,38188,0,0,0,0,0,0,0
2011-07-01,11774,135840,0,0,0,0,0,0,0
2011-08-01,12125,35220,0,0,0,0,0,0,0
2011-09-01,7154,100297,0,0,0,0,0,0,0
2011-10-01,50981,143470,0,0,0,0,0,0,0
2011-11-01,10744,39515,0,0,0,0,0,0,0
2011-12-01,15664,22270,0,0,0,0,0,0,0
2012-01-01,30309,36657,0,0,0,0,0,0,0
2012-02-01,16664,19689,0,0,0,0,0,0,0
2012-03-01,40815,94784,0,0,0,0,0,0,0
2012-04-01,5142,3477522,0,0,0,0,0,0,0
2012-05-01,9496,13807,0,0,0,0,0,0,0
2012-06-01,39347,3751,0,0,0,0,0,0,0
2012-07-01,15661,8963,0,0,0,0,0,0,0
2012-08-01,14264,12838,0,0,0,0,0,0,0
2012-09-01,2397,12617,0,0,0,0,0,0,0
2012-10-01,21153,9302,0,0,0,0,0,0,0
2012-11-01,5847,9264,0,0,0,0,0,0,0
2012-12-01,15668,7604,0,316,0,0,0,0,0
2013-01-01,44398,14944,0,1031,0,0,0,0,0
2013-02-01,62883,26235,4,1025,0,0,0,0,0
2013-03-01,9177,20349,0,379,0,0,0,0,0
2013-04-01,125319,20053,0,176,0,0,0,0,0
2013-05-01,13058,11707,0,2240,0,0,0,0,0
2013-06-01,8913,14822,0,21,0,0,0,0,0
2013-07-01,25343,6623,5,2993,4327,0,0,0,0
2013-08-01,415507,26989,0,0,124,0,0,0,332
2013-09-01,55909,22739,0,21,0,0,0,0,64
2013-10-01,49015,27697,0,0,0,0,0,0,0
2013-11-01,22782,6292,0,246,0,0,0,0,0
2013-12-01,9132,9149,0,276,0,0,0,0,0
2014-01-01,8773,20975,0,292,0,0,0,0,0
2014-02-01,17329,717130,0,149,3307,0,0,0,0
2014-03-01,21219,4939,0,33,627,0,0,0,0
2014-04-01,21714,8907,0,30799,136,0,0,0,0
2014-05-01,19579,3010,0,3508,696,0,0,4,0
2014-06-01,36899,139385,0,1696,1047,0,0,31,0
2014-07-01,26147,65792,0,11815,314,0,0,0,84
2014-08-01,30759,21066,0,217,249,564,0,0,210
2014-09-01,16131,1734,0,450,807,0,0,0,0
2014-10-01,45327,2325,0,71,1908,0,0,0,0
2014-11-01,30884,92547,0,0,2700,0,0,0,0
2014-12-01,14565,490639,0,0,1994,0,0,0,0
2015-01-01,332321,8106,0,0,1394,0,0,30,12
2015-02-01,580006,20426,0,0,4134,0,0,31,0
2015-03-01,72478,16924,0,0,12921,0,24,198,3
2015-04-01,33029,8800,0,0,2084,0,0,23,0
2015-05-01,38458,2564,0,0,68,0,0,0,0
2015-06-01,12668,275006,0,0,195,0,0,0,0
