Algorithm,Version,Property,First Capital Violation,Camel Case Violation,Illegal Characters,Index Property Update,Usage
IndirectQuickRun,1,SpectraRange,False,False,False,True,5
LoadMuonNexus,1,SpectrumList,False,False,False,True,26890
LoadMuonNexus,2,SpectrumList,False,False,False,True,2893
LoadEventPreNexus,2,SpectrumList,False,False,False,True,7
FilterEventsByLogValuePreNexus,2,SpectrumList,False,False,False,True,1
FilterEventsByLogValuePreNexus,2,LogPixelIDs,False,False,False,True,1
ClearUB,1,Workspace,False,False,False,False,31
ExaminePowderDiffProfile,1,ProfileWorkspace,False,False,False,False,2
ExaminePowderDiffProfile,1,BraggPeakWorkspace,False,False,False,False,2
ExaminePowderDiffProfile,1,BackgroundParameterWorkspace,False,False,False,False,2
IndexPeaks,1,PeaksWorkspace,False,False,False,False,611
AddNote,1,Workspace,False,False,False,False,10
ConvertEmptyToTof,1,ListOfSpectraIndices,False,False,False,True,0
DefineGaugeVolume,1,Workspace,False,False,False,False,2
EnggCalibrate,1,DIFA,False,True,False,False,6
EnggCalibrate,1,DIFC,False,True,False,False,6
EnggCalibrate,1,TZERO,False,True,False,False,6
SetInstrumentParameter,1,Workspace,False,False,False,False,286
TimeSlice,1,SpectraRange,False,False,False,True,71
ResizeRectangularDetector,1,Workspace,False,False,False,False,2
DeleteTableRows,1,TableWorkspace,False,False,False,False,1784
EnggVanadiumCorrections,1,Workspace,False,False,False,False,6
FindUBUsingIndexedPeaks,1,PeaksWorkspace,False,False,False,False,9405
AddSampleLog,1,Workspace,False,False,False,False,91869
LoadInstrumentFromRaw,1,Workspace,False,False,False,False,2
LoadDetectorInfo,1,Workspace,False,False,False,False,2
ISISIndirectDiffractionReduction,1,SpectraRange,False,False,False,True,1
REFLReprocess,1,IPTS,False,True,False,False,10
AddPeakHKL,1,Workspace,False,False,False,False,941
AddPeakHKL,1,HKL,False,True,False,False,941
CreateModeratorModel,1,Workspace,False,False,False,False,0
VesuvioCalculateGammaBackground,1,WorkspaceIndexList,False,False,False,True,4
SetUB,1,Workspace,False,False,False,False,173
SetUB,1,UB,False,True,False,False,173
LoadCIF,1,Workspace,False,False,False,False,45
ConvertCWPDMDToSpectra,1,ExcludedDetectorIDs,False,False,False,True,2
LoadEventNexus,1,SpectrumList,False,False,False,True,68250
SortEvents,1,InputWorkspace,False,False,False,False,25
ConjoinWorkspaces,1,InputWorkspace1,False,False,False,False,47100
IndirectDiffScan,1,SpectraRange,False,False,False,True,1
ChangeQConvention,1,InputWorkspace,False,False,False,False,2
GeneralisedSecondDifference,1,M,False,True,False,False,2
GeneralisedSecondDifference,1,Z,False,True,False,False,2
SaveGSASInstrumentFile,1,BankIDs,False,False,False,True,2
SaveGSASInstrumentFile,1,L1,False,True,False,False,2
SaveGSASInstrumentFile,1,L2,False,True,False,False,2
ExtractSpectra,1,WorkspaceIndexList,False,False,False,True,32962
PlotAsymmetryByLogValue,1,ForwardSpectra,False,False,False,True,10
PlotAsymmetryByLogValue,1,BackwardSpectra,False,False,False,True,10
LoadParameterFile,1,Workspace,False,False,False,False,9932
EstimateMuonAsymmetryFromCounts,1,Spectra,False,False,False,True,2
ExportSpectraMask,1,SpectraMasks,False,False,False,True,10
ReflectometryReductionOneAuto,1,C0,False,True,False,False,8
ReflectometryReductionOneAuto,1,C1,False,True,False,False,8
