Algorithm,Property Name,Clashing Algorithm, Possible Name Duplicates,usage
EQSANSDirectBeamTransmissionv1,EmptyDataFilename,ExaminePowderDiffProfilev1,DataFilename ,5892
LoadMDv1,FileBackEnd,SaveMDv1,UpdateFileBackEnd ,923
IntegratePeaksCWSDv1,ScaleFactor,IndirectCylinderAbsorptionv1,CanScaleFactor ,2725
AlignAndFocusPowderv1,CalFileName,CatalogPublishv1,FileName ,1368
CalculateTransmissionBeamSpreaderv1,MinWavelength,CreateTransmissionWorkspacev1,WavelengthMin ,0
SetupEQSANSReductionv1,TransmissionBeamCenterX,EQSANSLoadv1,BeamCenterX ,10888
SphericalAbsorptionv1,SampleNumberDensity,IndirectAnnulusAbsorptionv2,SampleDensity ,21
SNSPowderReductionv1,OutputFilePrefix,FindDeadDetectorsv1,OutputFile ,757
ApplyPaalmanPingsCorrectionv1,CanScaleFactor,ISISIndirectEnergyTransferv1,ScaleFactor ,95
SetInstrumentParameterv1,DetectorList,SetupILLD33Reductionv1,MaskedDetectorList ,286
SaveHKLv1,MinWavelength,PredictPeaksv1,WavelengthMin ,77
SANSSensitivityCorrectionv1,FloodTransmissionValue,SetupILLD33Reductionv1,TransmissionValue ,6
DownloadRemoteFilev2,LocalFileName,CatalogPublishv1,FileName ,0
Stitch1DManyv1,ManualScaleFactor,He3TubeEfficiencyv1,ScaleFactor ,293
ResizeRectangularDetectorv1,ComponentName,ReflectometryReductionOneAutov1,DetectorComponentName SampleComponentName ,2
IntegratePeaksCWSDv1,ScaleFactor,IndirectFlatPlateAbsorptionv2,CanScaleFactor ,2725
ResizeRectangularDetectorv1,ComponentName,SpecularReflectionCalculateThetav1,DetectorComponentName SampleComponentName ,2
SaveMDWorkspaceToVTKv1,RecursionDepth,ConvertToDiffractionMDWorkspacev3,MaxRecursionDepth MinRecursionDepth ,10
ConvertCWSDExpToMomentumv1,DetectorSampleDistanceShift,SetupEQSANSReductionv1,SampleDetectorDistance ,2392
SaveDiffFittingAsciiv1,RunNumber,ConvertSpiceDataToRealSpacev1,RunNumberName ,2
LoadNexusLogsv1,NXentryName,SaveNexusPDv1,NXentry ,11901
ISISIndirectDiffractionReductionv1,CalFile,AlignAndFocusPowderFromFilesv1,CalFileName ,1
PeakIntensityVsRadiusv1,NumSteps,CalculateCountRatev1,NumTimeSteps ,19
Stitch1DManyv1,ManualScaleFactor,SANSFitShiftScalev1,ScaleFactor ,293
SaveGSASInstrumentFilev1,InputFileName,AngularAutoCorrelationsTwoAxesv1,InputFile ,2
SetupHFIRReductionv1,IQNumberOfBins,EQSANSAzimuthalAverage1Dv1,NumberOfBins ,4666
IndirectCylinderAbsorptionv1,SampleDensity,IndirectFlatPlateAbsorptionv2,SampleDensityType ,10
PoldiFitPeaks1Dv2,PeakFunction,PawleyFitv1,PeakProfileFunction ,2
IndirectAnnulusAbsorptionv1,CanDensityType,FlatPlatePaalmanPingsCorrectionv1,CanDensity ,10
CorrectLogTimesv1,LogNames,SNSPowderReductionv1,FrequencyLogNames ,327
SCARFTomoReconstructionv1,CancelJobID,QueryRemoteJobv1,JobID ,0
